module,file,current_star,suggested_star,confidence,reason
candidate.core.bridges,manifests/labs/core/bridges/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
candidate.core.compliance,manifests/labs/core/compliance/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
candidate.core.drift,manifests/labs/core/drift/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
candidate.core.interaction,manifests/labs/core/interaction/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
candidate.core.orchestration.brain.abstract_reasoning,manifests/labs/core/orchestration/brain/abstract_reasoning/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.core.orchestration.brain.attention,manifests/labs/core/orchestration/brain/attention/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:attention
candidate.core.orchestration.brain.cognitive,manifests/labs/core/orchestration/brain/cognitive/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.core.orchestration.brain.compliance,manifests/labs/core/orchestration/brain/compliance/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
candidate.core.orchestration.brain.meta_cognitive,manifests/labs/core/orchestration/brain/meta_cognitive/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.core.orchestration.brain.reasoning,manifests/labs/core/orchestration/brain/reasoning/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.core.symbolic.drift,manifests/labs/core/symbolic/drift/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
candidate.core.symbolic_bridge,manifests/labs/core/symbolic_bridge/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
candidate.core.symbolic_core.features.drift,manifests/labs/core/symbolic_core/features/drift/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
candidate.core.symbolic_core.reasoning,manifests/labs/core/symbolic_core/reasoning/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.core.symbolic_legacy.features.drift,manifests/labs/core/symbolic_legacy/features/drift/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
candidate.core.symbolic_legacy.reasoning,manifests/labs/core/symbolic_legacy/reasoning/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.core.symbolic_reasoning,manifests/labs/core/symbolic_reasoning/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.orchestration.agents.MetaCognitiveOrchestrator,manifests/labs/orchestration/agents/MetaCognitiveOrchestrator/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.orchestration.brain.abstract_reasoning.confidence_calibrator,manifests/labs/orchestration/brain/abstract_reasoning/confidence_calibrator/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.orchestration.brain.abstract_reasoning,manifests/labs/orchestration/brain/abstract_reasoning/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.orchestration.brain.attention,manifests/labs/orchestration/brain/attention/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:attention
candidate.orchestration.brain.cognitive.cognitive_updater,manifests/labs/orchestration/brain/cognitive/cognitive_updater/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.orchestration.brain.cognitive,manifests/labs/orchestration/brain/cognitive/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.orchestration.brain.cognitive.voice_engine,manifests/labs/orchestration/brain/cognitive/voice_engine/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.orchestration.brain.cognitive_agi_enhancement,manifests/labs/orchestration/brain/cognitive_agi_enhancement/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.orchestration.brain.cognitive_core,manifests/labs/orchestration/brain/cognitive_core/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
candidate.orchestration.brain.compliance.ethical_engine,manifests/labs/orchestration/brain/compliance/ethical_engine/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
candidate.orchestration.brain.compliance,manifests/labs/orchestration/brain/compliance/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
candidate.orchestration.meta_cognitive_orchestrator,manifests/labs/orchestration/meta_cognitive_orchestrator/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
lukhas.api,manifests/lukhas/api/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.api.oidc,manifests/lukhas/api/oidc/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.6,capability:authentication
lukhas.branding_bridge,manifests/lukhas/branding_bridge/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.bridge.adapters,manifests/lukhas/bridge/adapters/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.bridge.adapters.openai_embedding_provider,manifests/lukhas/bridge/adapters/openai_embedding_provider/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.bridge.adapters.service_adapter_base,manifests/lukhas/bridge/adapters/service_adapter_base/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.bridge.api_gateway,manifests/lukhas/bridge/api_gateway/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.bridge.external_adapters.gmail_adapter,manifests/lukhas/bridge/external_adapters/gmail_adapter/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.bridge.external_adapters,manifests/lukhas/bridge/external_adapters/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.bridge.llm_wrappers,manifests/lukhas/bridge/llm_wrappers/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.bridge,manifests/lukhas/bridge/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
lukhas.cognitive_core,manifests/lukhas/cognitive_core/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
lukhas.cognitive_core.reasoning.contradiction_integrator,manifests/lukhas/cognitive_core/reasoning/contradiction_integrator/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
lukhas.cognitive_core.reasoning.deep_inference_engine,manifests/lukhas/cognitive_core/reasoning/deep_inference_engine/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
lukhas.cognitive_core.reasoning,manifests/lukhas/cognitive_core/reasoning/module.manifest.json,Supporting,🌊 Flow (Consciousness),0.5,node:thought
lukhas.compliance,manifests/lukhas/compliance/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
lukhas.core.drift,manifests/lukhas/core/drift/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
lukhas.observability.compliance_dashboard,manifests/lukhas/observability/compliance_dashboard/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:risk
lukhas.public_api,manifests/lukhas/public_api/module.manifest.json,Supporting,🛡️ Watch (Guardian),0.5,node:action
